,p,q,m,q/p,t*,t**,s(t*),cluster,,사업 형태,업종,사원 수 (22.02.01 기준)
라프텔,0.001706516,0.056762326,2021528.249,33.26210813,59.93651894,37.41242145,30437.47529,1,,추천,애니메이션/웹툰,16
소프트베리,0.000127758,0.029159177,2887897.664,228.2373542,185.4200887,140.4526693,21237.06014,4,,지원,"자동차 주유소, 충전소",18
프렌트립,0.004870641,0.101613327,234761,20.86241412,28.52963898,16.16197539,6549.131964,1,,중개,"여행, 여행상품/가이드",51
맘편한세상,0.010790826,0.073459101,156695,6.807551274,22.76598396,7.134422603,3785.198004,2,,중개,유아관리,42
아파트너,0.000801624,0.055368266,1815815.593,69.07012016,75.39844252,51.95246645,25867.70943,3,,지원,아파트 커뮤니케이션(소셜 네트워크),35
딜리버리히어로코리아,0.004292902,0.115895724,8358501.272,26.99705747,27.42129598,16.4638706,260452.031,1,,중개,"음식, 주문/배달",
우아한형제들,0.005044778,0.03111149,36680337.32,6.16706783,50.31557614,13.89152185,385318.3796,2,,중개,"음식, 주문/배달",1554
업라이즈,3.23E-06,0.091209359,15264980.34,28268.60573,112.3694396,97.9311043,348101.8951,4,,지원,블록체인,73
에이블리코퍼레이션,0.000106532,0.18351989,3494509,1722.673844,40.58039601,33.40845484,160514.1694,4,,유통,"패션, 의류",274
에이에스엔,9.28E-05,0.15017213,73052,1617.771338,49.17184243,40.40760406,2745.98524,4,,중개,아웃소싱,20
에임,0.014982038,0.036910025,403636,2.463618383,17.37512641,-8.003665979,7361.858066,5,,투자,"금융, 자산관리",8
엔코드,0.00018696,0.089713936,145202.5627,479.8563115,68.66991301,54.02091667,3270.261033,4,,유통,"패션, 명품",55
오아시스,0.000103414,0.062273792,46195207.25,602.1766985,102.6104137,81.49760697,721578.2873,4,,유통,식자재,727
벤디스,0.005203893,0.093953243,78072,18.05441644,29.17984982,15.89832565,2042.544299,1,,구독/멤버쉽,"음식, 쿠폰/멤버쉽",37
와디즈플랫폼,0.001110419,0.123657724,655223,111.3613186,37.77230248,27.21706085,20621.26562,3,,중개,크라우드 펀딩,308
와이오엘오,0.000508261,0.139405353,103638.2101,274.2791612,40.12580531,30.71315516,3638.315946,3,,중개,해외쇼핑,28
