,p,q,m,SSE,MSE,RMSE,MAE,MAPE,Adjusted-R2,AIC,q/p,t*,t**
미니맵,0.000320923,0.375695412,1090475,4.29723E+11,20463018242,143049.0064,76967.49358,0.525057615,0.658039216,504.5795872,1170.67192,18.78996334,15.28756791
청담러닝,0.002712742,0.196872025,661717.8223,73372305978,3493919332,59109.38447,36413.88202,0.423037082,0.657512164,467.4600892,72.57306888,21.46753963,14.8690506
아드리엘,0.009648563,0.302241219,73977,2361622768,157441517.9,12547.5702,9766.230449,2.389596678,0.655577618,289.1184695,31.32499918,11.04369772,6.821187164
코인플러그,5.6537E-05,0.494166796,291199,37602536304,1790596967,42315.44596,31262.68548,3.590207398,0.652247105,453.4221129,8740.587447,18.36362646,15.69892447
닷,9.17179E-07,0.738885215,123898,6447917792,307043704.4,17522.66259,14204.57088,0.903413221,0.650446327,416.3925138,805606.1373,18.40520434,16.62284865
갓잇코리아,0.008936397,0.260281472,444789.7503,39376689505,2625112634,51235.85301,44648.82257,0.456637931,0.648049299,331.3258446,29.12599818,12.52380165,7.632009344
트릿지,0.018932613,0.355255811,465161,1.31114E+11,6243502848,79015.83922,61271.44553,0.901820406,0.643900401,479.6509515,18.76422539,7.835496686,4.315992035
에스티유니타스,0.086297078,0.22004238,2896712,3.61203E+12,1.72002E+11,414730.6898,324072.7738,0.170055811,0.631027871,549.2861552,2.549824235,3.055513768,-1.243501151
하이어엑스,0.011960944,0.420404676,24626,279860618.3,21527739.87,4639.799551,3641.865531,1.446246795,0.629997969,225.5030875,35.14811778,8.232780095,5.186844349
파운트,0.001309231,0.389820021,627156,2.84723E+11,14985444779,122415.0513,83165.84857,8.517558132,0.62900144,451.1765592,297.7473948,14.56358848,11.19652275
모두컴퍼니,0.01797361,0.333475037,729372,3.00962E+11,14331542742,119714.4216,89634.35926,0.295686681,0.628243845,497.1003034,18.55359299,8.310356269,4.563129156
퍼플코퍼레이션,0.001377027,0.598522773,72808344,2.60299E+15,1.73533E+14,13173182.83,10564085.18,0.632180312,0.628064159,497.8108115,434.6485883,10.12592079,7.930624352
박스트리,0.006326426,0.297598006,70551,1793543315,112096457.2,10587.56144,6510.449284,0.791574342,0.621881881,302.5579245,47.04046621,12.67093995,8.337764453
케이티스튜디오지니,0.01501252,0.283830724,240559,22175184634,1478345642,38449.26062,34184.42363,0.500549985,0.62121639,322.7128424,18.90626794,9.836238777,5.429386945
스마트잭,0.020144331,0.171833143,17034.42537,61861842.69,4418703.049,2102.071133,1671.478826,0.677333419,0.619530825,220.218995,8.530099273,11.16589859,4.305938024
인스팅터스,0.001601272,0.299838134,676394,2.78084E+11,13242116646,115074.3961,66757.14625,0.461964976,0.612722295,495.4400331,187.2500121,17.35819731,12.98929971
아이앤나,0.023893792,0.13009109,44102,987927964.2,49396398.21,7028.257125,5428.3264,2.085343297,0.611729262,360.3077614,5.444556065,11.00508178,2.45256755
트립비토즈,0.006293306,0.121493404,188904.0962,4436312284,221815614.2,14893.47556,9021.573887,0.360019309,0.609412068,390.3471406,19.3051804,23.16652084,12.86061422
비브로스,0.031068992,0.091136683,2573235,3.11428E+12,1.48299E+11,385096.1384,290397.3525,0.340965124,0.608373114,546.1724283,2.933364639,8.806056721,-1.970512349
티오리한국,0.001468941,0.237293466,56881.47134,695780481.3,33132403.87,5756.075388,3966.349073,1.382732969,0.589528268,369.6364689,161.5405469,21.29630143,15.78053403
엔라이즈,0.019885277,0.37100492,403991,1.16341E+11,6463409283,80395.33123,62399.91666,0.494293033,0.579872503,412.6096098,18.65726678,7.486081081,4.11695618
비마이펫,0.002522157,0.36533955,120072,6961769314,435110582.1,20859.30445,12592.26451,2.383155749,0.579213803,324.2577723,144.8520341,13.52604166,9.946006356
도그메이트,0.011095031,0.12117541,135296.1056,7286015673,346953127.3,18626.67784,11517.85114,0.600844584,0.568946747,418.9587052,10.9215924,18.0746488,8.118094048
피유엠피,0.017871178,0.827659619,1216162,5.89255E+11,49104617424,221595.6169,146685.203,0.266478908,0.565272914,301.4066269,46.31253955,4.536100603,2.978548942
안다르,0.050234684,0.001902229,1762925,1.33434E+12,63540104945,252071.6266,176106.6066,0.248006055,0.562847706,528.3736795,0.037866843,-62.79005054,-88.0496569
아이브코리아,0.066648375,0.122896963,109877,4748476907,395706408.9,19892.37062,16818.50681,3.602020181,0.55860147,243.5541972,1.843960369,3.228333857,-3.719649715
이브로드캐스팅,0.053112248,0.432815834,515773,1.07265E+11,8251127506,90835.71713,76286.02684,0.309512981,0.553589612,302.837004,8.149077617,4.317315305,1.60712434
지지틱스,0.008597159,0.258548039,2993370.927,3.8145E+12,2.24382E+11,473690.2198,397533.5524,0.514743357,0.550101244,450.3225006,30.07365933,12.74082299,7.811077273
어반베이스,0.003265316,0.24552891,56790,1728210052,82295716.75,9071.69867,6885.470623,0.849908938,0.549416779,388.742422,75.19301187,17.36398141,12.07061941
한율씨엔에스,0.002238476,0.299150189,45731,1525550988,72645285.16,8523.220351,7257.606411,1.314393704,0.546090066,386.12308,133.640112,16.24198591,11.87235278
코리아센터,0.016415424,0.088729693,2106798.29,1.56505E+12,74526242256,272994.9491,200529.3655,0.431486441,0.545264605,531.7227601,5.405263575,16.04804162,3.522896054
111퍼센트,0.00642474,0.230234072,1254304,1.38173E+12,65796683888,256508.6429,175471.8171,5.531092258,0.545262252,529.1065408,35.83554779,15.12278514,9.557989604
라이트브라더스,0.001486101,0.523904833,152738,14212886809,1015206201,31862.30062,22679.47435,2.114838271,0.542315854,296.3370062,352.5365263,11.16340969,8.656784976
허닭,0.00057021,0.351482909,378564,74647224380,3554629732,59620.71563,38221.39889,0.580924941,0.538572968,467.8218516,616.4091844,18.24699358,14.50620043
에이에스엔,0.005071211,0.151611501,336539.6929,26282517290,1251548442,35377.23056,26342.42298,0.640532381,0.537299154,445.9005949,29.89650835,21.68549198,13.28023859
부트페이,0.002529606,0.304475436,8310,44437520.01,2338816.842,1529.319078,1168.737624,1.678971382,0.534362865,284.637959,120.364763,15.60406564,11.31437095
로앤컴퍼니,0.006916275,0.187684212,3733421,8.7982E+12,4.18962E+11,647272.6922,450499.3542,0.566373034,0.523398151,567.9819642,27.13660534,16.96236026,10.19486488
스티비,0.001608051,0.26699706,1547096,1.4105E+12,67166576314,259165.1526,143816.2137,0.494912112,0.518652125,529.5392733,166.0376664,19.03245489,14.12950316
마이플레이컴퍼니,0.002995929,0.21452852,201501.843,3564755750,222797234.4,14926.39388,10531.1836,1.084772499,0.516990632,313.5483624,71.60668049,19.63544047,13.5811422
비모뉴먼트,0.010973384,0.213959837,17186,185228266.4,10290459.25,3207.874568,2528.586471,1.042355474,0.516917438,296.6410993,19.49807275,13.20532207,7.350438158
이벤터스,0.007661153,0.423504403,157116,22822904379,1201205494,34658.41159,23720.11343,0.387430147,0.506756106,403.2252379,55.27946289,9.305941567,6.251528058
비알스톰,0.02530717,0.37055065,24472,410869988.4,29347856.32,5417.366179,3887.911918,0.845407484,0.506137922,246.7262209,14.64212107,6.779965537,3.453119813
튜터링,0.013937279,0.334395687,882336,8.6551E+11,41214770928,203014.2136,140833.3973,0.512716921,0.505946253,519.2833135,23.99289692,9.12275936,5.342014998
코드잇,0.004548342,0.40958907,186783,33104030302,1576382395,39703.68239,29602.7311,0.442588502,0.50278114,450.7463671,90.05239494,10.86690441,7.686902169
일리오,0.02049832,0.369924832,311277,45281057007,3234361215,56871.44463,44420.78067,0.407233839,0.501635917,312.559362,18.04659247,7.409798496,4.036643266
